,Role_Designer
231,0.480324115
232,0.6708711079999999
233,0.632561529
234,0.620921439
235,0.4347966789999999
236,0.620921439
237,0.620921439
238,0.63835848
239,0.577478909
240,0.4603855329999999
241,0.585599348
242,0.4932994739999999
243,0.62381028
244,0.670278458
245,0.758946703
246,0.715964345
247,0.620921439
248,0.620921439
249,0.235165575
250,0.638271083
251,0.555094863
252,0.658051788
253,0.55410406
254,0.472013124
255,0.5024102579999999
256,0.620921439
257,0.67648702
258,0.534819055
259,0.4135049979999999
260,0.82204542
261,0.355302185
262,0.74663728
263,0.620921439
264,0.370356382
265,0.3511114079999999
266,0.768957848
267,0.464683378
268,0.723771478
269,0.648299614
270,0.273284934
271,0.245686021
272,0.648299614
273,0.564941723
274,0.7142134659999999
275,0.7047679490000001
276,0.760474067
277,0.3756561679999999
278,0.507043703
279,0.6944425470000001
280,0.577989775
281,0.7998051490000001
282,0.648299614
283,0.5063665860000001
284,0.494205252
285,0.5544271279999999
286,0.662862855
287,0.552583001
288,0.7104352859999999
289,0.715500852
290,0.741993129
291,0.2723241839999999
292,0.505764758
293,0.457578006
294,0.620921439
295,0.648299614
296,0.648299614
297,0.82416781
298,0.55087252
299,0.701509644
300,0.641145827
301,0.374980561
302,0.563057814
303,0.4852589639999999
304,0.4141434539999999
305,0.865847542
306,0.386810748
307,0.564587597
308,0.721059234
309,0.613468899
310,0.541197735
311,0.778512538
312,0.469676119
313,0.47803066
314,0.628677421
315,0.8014961979999999
316,0.674916588
317,0.506523026
318,0.466752176
319,0.752943055
320,0.732842986
321,0.294514633
322,0.539891559
323,0.2640595189999999
324,0.513557024
325,0.63328267
326,0.64917871
327,0.649799439
328,0.6427528889999999
329,0.648299614
330,0.5629357739999999
331,0.554448456
332,0.29501564
333,0.7896766129999999
334,0.456378462
335,0.365850316
336,0.74751167
337,0.620921439
338,0.873099957
339,0.6825067309999999
340,0.624145624
341,0.39613469
342,0.61460025
343,0.620921439
344,0.662862855
345,0.75425752
346,0.553645586
347,0.665096211
348,0.623578078
349,0.5638657229999999
350,0.594798606
351,0.58493732
352,0.708510011
353,0.564552673
354,0.662862855
355,0.7551028390000001
356,0.671963847
357,0.912258156
358,0.710472703
359,0.440858702
360,0.627525976
361,0.755062022
362,0.548247306
363,0.376513198
364,0.5152177410000001
365,0.482114329
366,0.6513993339999999
367,0.70724905
368,0.750930181
369,0.497944311
370,0.620921439
371,0.411254927
372,0.467083882
373,0.7403717129999999
374,0.3967172
375,0.68147293
376,0.449353542
377,0.6199459310000001
378,0.676516663
379,0.386971115
380,0.767844057
381,0.68069325
382,0.620921439
383,0.799626695
384,0.6208026529999999
385,0.54998651
386,0.629298253
387,0.744668469
388,0.207658855
389,0.336331982
390,0.60556056
391,0.665000139
392,0.678084184
393,0.271436261
394,0.748948574
395,0.620921439
396,0.318102377
397,0.583809793
398,0.346045922
399,0.7011057390000001
400,0.643892439
401,0.5417416629999999
402,0.5425358379999999
403,0.421477426
404,0.7720385940000001
405,0.492574494
406,0.368538211
407,0.620921439
408,0.620921439
409,0.7577753890000001
410,0.6008134079999999
411,0.61266256
412,0.246387631
413,0.620921439
414,0.7844740509999999
415,0.5271666
416,0.620921439
417,0.435122107
418,0.499078126
419,0.411532132
420,0.648299614
421,0.643072977
422,0.620921439
423,0.682213636
424,0.308297316
425,0.620921439
426,0.620921439
427,0.620921439
428,0.620921439
429,0.625444977
430,0.620921439
431,0.648299614
432,0.359994601
433,0.773037839
434,0.620921439
435,0.620921439
436,0.620921439
437,0.227860738
438,0.7432944570000001
439,0.620921439
440,0.620921439
441,0.7698509509999999
442,0.648299614
443,0.620921439
444,0.620921439
445,0.620921439
446,0.620921439
447,0.513577954
448,0.620921439
449,0.70528761
450,0.620921439
451,0.268407596
452,0.4583455729999999
453,0.620921439
454,0.671868551
455,0.6523622339999999
456,0.713987904
457,0.669559098
458,0.541085055
459,0.6878887090000001
460,0.620921439
461,0.516196231
462,0.371863942
463,0.620921439
464,0.581376305
465,0.620921439
466,0.620921439
467,0.620921439
468,0.620564262
469,0.620921439
470,0.6170049
471,0.32976262
472,0.620921439
473,0.620921439
474,0.6139990820000001
475,0.477369603
476,0.620921439
477,0.620921439
478,0.370544806
479,0.541297085
480,0.539882929
481,0.648299614
482,0.620921439
483,0.298351739
484,0.620921439
485,0.620921439
486,0.5802978879999999
487,0.620921439
488,0.391838106
489,0.476110948
490,0.648299614
491,0.468489534
492,0.750980023
493,0.810550442
494,0.620921439
495,0.640913921
496,0.620921439
497,0.620921439
498,0.620921439
499,0.618962184
500,0.620921439
501,0.620921439
502,0.7880276159999999
503,0.620921439
504,0.719735936
505,0.730782433
506,0.620921439
507,0.544485181
508,0.648299614
509,0.498402405
510,0.55930123
511,0.487402131
512,0.584117801
513,0.642051539
514,0.69352127
515,0.620921439
516,0.1812317939999999
517,0.350670249
518,0.637006637
519,0.620921439
520,0.542194081
521,0.620921439
522,0.7093280590000001
523,0.5414772929999999
524,0.620921439
525,0.678031169
526,0.620921439
527,0.34370844
528,0.24435213
529,0.65422271
530,0.648299614
531,0.620921439
532,0.6022055070000001
533,0.648299614
534,0.566543053
535,0.401654076
536,0.453258326
537,0.34819357
538,0.648299614
539,0.394429221
540,0.620921439
541,0.44809881
542,0.212818598
543,0.622835052
544,0.620921439
545,0.670095371
546,0.447679411
547,0.620921439
548,0.5343240929999999
549,0.648299614
550,0.648299614
551,0.352400495
552,0.620921439
553,0.620921439
554,0.781671806
555,0.620921439
556,0.18642567
557,0.620921439
558,0.6139922489999999
559,0.648299614
560,0.771169743
561,0.642896015
562,0.648299614
563,0.626752787
564,0.497650328
565,0.620921439
566,0.429605397
567,0.532720166
568,0.620921439
569,0.40450932
570,0.401949126
571,0.620921439
572,0.301612031
573,0.6276891370000001
574,0.8351861859999999
575,0.533687397
576,0.19439165
577,0.557209439
578,0.530581768
579,0.598661011
580,0.442898719
581,0.648299614
582,0.579784735
583,0.620921439
584,0.620921439
585,0.2169946019999999
586,0.828921522
587,0.620921439
588,0.468695841
589,0.620921439
590,0.620921439
591,0.620921439
592,0.4581017089999999
593,0.620921439
594,0.416601066
595,0.682815462
596,0.620921439
597,0.68390039
598,0.642978997
599,0.823235679
600,0.393495964
601,0.5476844670000001
602,0.597987773
603,0.455862414
604,0.4061430729999999
605,0.72255987
606,0.620921439
607,0.738353901
608,0.620921439
609,0.546961633
610,0.502708183
611,0.3802153789999999
612,0.485999819
613,0.535722346
614,0.522251565
615,0.443596175
616,0.648299614
617,0.7882780229999999
618,0.648299614
619,0.620921439
620,0.620921439
621,0.5719858729999999
622,0.454110117
623,0.6781741459999999
624,0.631934114
625,0.300151796
626,0.539937584
627,0.648299614
628,0.620921439
629,0.657633013
630,0.648299614
